hora_inicio,hora_fin,intervalo_texto,franja_horaria,id_intervalo
16:45:00,17:00:00,16:45:00,Tarde,1
17:15:00,17:30:00,17:15:00,Tarde,2
17:30:00,17:45:00,17:30:00,Tarde,3
17:45:00,18:00:00,17:45:00,Tarde,4
18:00:00,18:15:00,18:00:00,Noche,5
18:15:00,18:30:00,18:15:00,Noche,6
18:30:00,18:45:00,18:30:00,Noche,7
05:45:00,06:00:00,05:45:00,Madrugada,8
06:00:00,06:15:00,06:00:00,Mañana,9
06:15:00,06:30:00,06:15:00,Mañana,10
06:30:00,06:45:00,06:30:00,Mañana,11
07:00:00,07:15:00,07:00:00,Mañana,12
07:15:00,07:30:00,07:15:00,Mañana,13
07:30:00,07:45:00,07:30:00,Mañana,14
07:45:00,08:00:00,07:45:00,Mañana,15
09:30:00,09:45:00,09:30:00,Mañana,16
19:45:00,20:00:00,19:45:00,Noche,17
06:45:00,07:00:00,06:45:00,Mañana,18
08:00:00,08:15:00,08:00:00,Mañana,19
08:15:00,08:30:00,08:15:00,Mañana,20
09:15:00,09:30:00,09:15:00,Mañana,21
10:45:00,11:00:00,10:45:00,Mañana,22
05:30:00,05:45:00,05:30:00,Madrugada,23
08:30:00,08:45:00,08:30:00,Mañana,24
08:45:00,09:00:00,08:45:00,Mañana,25
09:00:00,09:15:00,09:00:00,Mañana,26
09:45:00,10:00:00,09:45:00,Mañana,27
10:00:00,10:15:00,10:00:00,Mañana,28
10:15:00,10:30:00,10:15:00,Mañana,29
10:30:00,10:45:00,10:30:00,Mañana,30
11:00:00,11:15:00,11:00:00,Mañana,31
11:15:00,11:30:00,11:15:00,Mañana,32
11:30:00,11:45:00,11:30:00,Mañana,33
11:45:00,12:00:00,11:45:00,Mañana,34
12:00:00,12:15:00,12:00:00,Tarde,35
12:15:00,12:30:00,12:15:00,Tarde,36
12:30:00,12:45:00,12:30:00,Tarde,37
12:45:00,13:00:00,12:45:00,Tarde,38
13:00:00,13:15:00,13:00:00,Tarde,39
13:15:00,13:30:00,13:15:00,Tarde,40
13:30:00,13:45:00,13:30:00,Tarde,41
13:45:00,14:00:00,13:45:00,Tarde,42
14:00:00,14:15:00,14:00:00,Tarde,43
14:15:00,14:30:00,14:15:00,Tarde,44
14:30:00,14:45:00,14:30:00,Tarde,45
14:45:00,15:00:00,14:45:00,Tarde,46
15:00:00,15:15:00,15:00:00,Tarde,47
15:15:00,15:30:00,15:15:00,Tarde,48
15:30:00,15:45:00,15:30:00,Tarde,49
15:45:00,16:00:00,15:45:00,Tarde,50
16:00:00,16:15:00,16:00:00,Tarde,51
16:15:00,16:30:00,16:15:00,Tarde,52
16:30:00,16:45:00,16:30:00,Tarde,53
17:00:00,17:15:00,17:00:00,Tarde,54
18:45:00,19:00:00,18:45:00,Noche,55
19:00:00,19:15:00,19:00:00,Noche,56
19:15:00,19:30:00,19:15:00,Noche,57
19:30:00,19:45:00,19:30:00,Noche,58
20:00:00,20:15:00,20:00:00,Noche,59
20:15:00,20:30:00,20:15:00,Noche,60
20:30:00,20:45:00,20:30:00,Noche,61
20:45:00,21:00:00,20:45:00,Noche,62
21:00:00,21:15:00,21:00:00,Noche,63
21:15:00,21:30:00,21:15:00,Noche,64
21:30:00,21:45:00,21:30:00,Noche,65
21:45:00,22:00:00,21:45:00,Noche,66
22:00:00,22:15:00,22:00:00,Noche,67
22:15:00,22:30:00,22:15:00,Noche,68
22:30:00,22:45:00,22:30:00,Noche,69
23:00:00,23:15:00,23:00:00,Noche,70
23:30:00,23:45:00,23:30:00,Noche,71
05:00:00,05:15:00,05:00:00,Madrugada,72
05:15:00,05:30:00,05:15:00,Madrugada,73
04:45:00,05:00:00,04:45:00,Madrugada,74
22:45:00,23:00:00,22:45:00,Noche,75
04:30:00,04:45:00,04:30:00,Madrugada,76
04:15:00,04:30:00,04:15:00,Madrugada,77
23:15:00,23:30:00,23:15:00,Noche,78
23:45:00,00:00:00,23:45:00,Noche,79
04:00:00,04:15:00,04:00:00,Madrugada,80
03:45:00,04:00:00,03:45:00,Desconocido,81
00:15:00,00:30:00,00:15:00,Desconocido,82
00:00:00,00:15:00,00:00:00,Desconocido,83
03:30:00,03:45:00,03:30:00,Desconocido,84
03:00:00,03:15:00,03:00:00,Desconocido,85
01:00:00,01:15:00,01:00:00,Desconocido,86
00:30:00,00:45:00,00:30:00,Desconocido,87
01:15:00,01:30:00,01:15:00,Desconocido,88
01:30:00,01:45:00,01:30:00,Desconocido,89
01:45:00,02:00:00,01:45:00,Desconocido,90
02:00:00,02:15:00,02:00:00,Desconocido,91
02:30:00,02:45:00,02:30:00,Desconocido,92
02:15:00,02:30:00,02:15:00,Desconocido,93
00:45:00,01:00:00,00:45:00,Desconocido,94
03:15:00,03:30:00,03:15:00,Desconocido,95
