fecha,dia,mes,nombre_mes,anio,dia_semana,nombre_dia,fin_semana,id_fecha
2024-04-01,1,4,Abril,2024,1,Lunes,0,1
2024-04-02,2,4,Abril,2024,2,Martes,0,2
2024-04-03,3,4,Abril,2024,3,Miércoles,0,3
2024-04-04,4,4,Abril,2024,4,Jueves,0,4
2024-04-05,5,4,Abril,2024,5,Viernes,1,5
2024-04-06,6,4,Abril,2024,6,Sábado,1,6
2024-04-07,7,4,Abril,2024,7,Domingo,1,7
2024-04-08,8,4,Abril,2024,1,Lunes,0,8
2024-04-09,9,4,Abril,2024,2,Martes,0,9
2024-04-10,10,4,Abril,2024,3,Miércoles,0,10
2024-04-11,11,4,Abril,2024,4,Jueves,0,11
2024-04-12,12,4,Abril,2024,5,Viernes,1,12
2024-04-13,13,4,Abril,2024,6,Sábado,1,13
2024-04-14,14,4,Abril,2024,7,Domingo,1,14
2024-04-15,15,4,Abril,2024,1,Lunes,0,15
2024-04-16,16,4,Abril,2024,2,Martes,0,16
2024-04-17,17,4,Abril,2024,3,Miércoles,0,17
2024-04-18,18,4,Abril,2024,4,Jueves,0,18
2024-04-19,19,4,Abril,2024,5,Viernes,1,19
2024-04-20,20,4,Abril,2024,6,Sábado,1,20
2024-04-21,21,4,Abril,2024,7,Domingo,1,21
2024-04-22,22,4,Abril,2024,1,Lunes,0,22
2024-04-23,23,4,Abril,2024,2,Martes,0,23
2024-04-24,24,4,Abril,2024,3,Miércoles,0,24
2024-04-25,25,4,Abril,2024,4,Jueves,0,25
2024-04-26,26,4,Abril,2024,5,Viernes,1,26
2024-04-27,27,4,Abril,2024,6,Sábado,1,27
2024-04-28,28,4,Abril,2024,7,Domingo,1,28
2024-04-29,29,4,Abril,2024,1,Lunes,0,29
2024-04-30,30,4,Abril,2024,2,Martes,0,30
